Tanggal;year;month;day;T '07.00;T '13.00;T '18.00;TRata2;TMax;TMin;Curah Hujan (mm);SS (%);Cuaca;Tekanan Udara (mb);RH07.00;RH13.00;RH18.00;RHRata2;Kec Rata2;Arah Terbanyak;Kec,Max;Arah;T07;T13;T18;T_Avg;T_Max;T_Min;Rain;Sun;Pressure;RH07;RH13;RH18;RH_Avg;WS_Avg;WD_Most;WS_Max;WD_Max;Tanggal_DT
;2015;5;29;;;;;;;;;;;;;;;;;;;26.0;31.7;30.2;28.9;31.9;24.6;0.0;100.0;1012.1;0.0;0.0;0.0;73.91581937;6.5;0.0;11.0;80.0;2015-05-29
;2015;5;30;;;;;;;;;;;;;;;;;;;26.6;32.2;30.1;29.15416667;32.4;25.4;0.0;92.5;1012.2;0.0;0.0;0.0;76.10898183;8.5;0.0;15.0;90.0;2015-05-30
;2015;5;31;;;;;;;;;;;;;;;;;;;26.8;31.8;29.8;29.425;32.0;25.9;0.0;98.75;1010.3;0.0;0.0;0.0;74.30773694;7.0;0.0;11.0;80.0;2015-05-31
;2015;6;13;;;;;;;;;;;;;;;;;;;24.2;31.4;29.2;27.77083333;31.4;22.7;0.0;100.0;1010.5;0.0;0.0;0.0;70.69287207;6.0;0.0;10.0;120.0;2015-06-13
;2015;6;14;;;;;;;;;;;;;;;;;;;24.6;30.8;29.1;27.6625;31.3;23.4;0.0;100.0;1011.0;0.0;0.0;0.0;70.6770442;6.5;0.0;10.0;110.0;2015-06-14
;2015;6;15;;;;;;;;;;;;;;;;;;;24.0;30.2;28.6;26.61666667;30.8;23.0;0.0;100.0;1011.6;0.0;0.0;0.0;70.29992166;8.0;0.0;14.0;120.0;2015-06-15
;2015;6;16;;;;;;;;;;;;;;;;;;;23.0;30.6;28.8;26.79583333;30.7;21.8;0.0;100.0;1011.4;0.0;0.0;0.0;70.11490993;5.5;0.0;9.0;80.0;2015-06-16
;2015;6;17;;;;;;;;;;;;;;;;;;;23.0;31.1;29.1;27.29583333;31.6;22.0;0.0;100.0;1010.6;0.0;0.0;0.0;71.23653963;5.5;0.0;10.0;100.0;2015-06-17
;2015;6;18;;;;;;;;;;;;;;;;;;;24.2;31.3;29.5;27.5625;31.8;23.0;0.0;100.0;1010.8;0.0;0.0;0.0;73.57348064;7.0;0.0;11.0;120.0;2015-06-18
;2015;6;19;;;;;;;;;;;;;;;;;;;24.2;31.0;29.3;27.425;31.3;23.3;0.0;100.0;1012.4;0.0;0.0;0.0;71.40607959;6.0;0.0;10.0;110.0;2015-06-19
;2015;6;20;;;;;;;;;;;;;;;;;;;24.7;31.1;28.7;28.08333333;31.2;23.4;0.0;93.75;1011.4;0.0;0.0;0.0;74.82799824;9.0;0.0;15.0;100.0;2015-06-20
;2015;6;21;;;;;;;;;;;;;;;;;;;25.5;30.2;29.0;27.0;31.4;24.7;0.0;97.5;1012.6;0.0;0.0;0.0;73.63560932;6.5;0.0;11.0;50.0;2015-06-21
;2015;6;22;;;;;;;;;;;;;;;;;;;23.7;31.5;28.8;26.97916667;31.7;22.0;0.0;100.0;1013.1;0.0;0.0;0.0;69.98585283;7.5;0.0;13.0;120.0;2015-06-22
;2015;6;23;;;;;;;;;;;;;;;;;;;23.4;30.7;28.8;26.69583333;31.5;22.3;0.0;100.0;1013.5;0.0;0.0;0.0;69.38861946;7.0;0.0;13.0;80.0;2015-06-23
;2015;6;24;;;;;;;;;;;;;;;;;;;23.1;31.4;28.8;26.80416667;31.6;22.5;0.0;91.25;1013.6;0.0;0.0;0.0;71.41508544;7.0;0.0;12.0;110.0;2015-06-24
;2015;6;25;;;;;;;;;;;;;;;;;;;23.1;30.6;29.2;27.69583333;30.9;22.1;0.0;100.0;1013.8;0.0;0.0;0.0;71.21568032;6.0;0.0;11.0;100.0;2015-06-25
;2015;6;26;;;;;;;;;;;;;;;;;;;24.6;31.0;29.1;28.48333333;31.2;23.1;0.0;77.5;1013.5;0.0;0.0;0.0;71.88145911;7.0;0.0;12.0;100.0;2015-06-26
;2015;6;27;;;;;;;;;;;;;;;;;;;25.8;31.2;28.8;27.92916667;31.2;24.4;0.0;97.5;1014.8;0.0;0.0;0.0;77.08309704;6.5;0.0;11.0;110.0;2015-06-27
;2015;6;28;;;;;;;;;;;;;;;;;;;24.6;30.0;28.6;27.5;30.6;23.4;0.0;95.0;1015.7;0.0;0.0;0.0;72.97649384;5.5;0.0;9.0;90.0;2015-06-28
;2015;6;29;;;;;;;;;;;;;;;;;;;25.3;30.0;28.8;27.0875;30.9;24.3;0.0;100.0;1016.1;0.0;0.0;0.0;69.97332536;7.0;0.0;12.0;90.0;2015-06-29
;2015;6;30;;;;;;;;;;;;;;;;;;;24.0;30.0;28.2;26.92916667;30.4;22.8;0.0;93.75;1014.8;0.0;0.0;0.0;72.81543688;6.0;0.0;10.0;110.0;2015-06-30
;2015;7;13;;;;;;;;;;;;;;;;;;;28.7;30.8;28.4;28.55833333;31.0;26.1;0.0;98.75;1011.3;0.0;0.0;0.0;71.15469663;12.5;0.0;20.0;110.0;2015-07-13
;2015;7;14;;;;;;;;;;;;;;;;;;;26.7;30.4;28.1;28.23333333;30.8;25.0;0.0;100.0;1010.6;0.0;0.0;0.0;71.5669553;11.0;0.0;18.0;100.0;2015-07-14
;2015;7;15;;;;;;;;;;;;;;;;;;;27.0;30.2;28.2;27.92083333;30.4;25.0;0.0;100.0;1011.1;0.0;0.0;0.0;72.87371746;9.5;0.0;16.0;110.0;2015-07-15
;2015;7;16;;;;;;;;;;;;;;;;;;;25.0;30.6;27.6;27.54583333;30.8;24.6;0.0;98.75;1011.9;0.0;0.0;0.0;72.46450433;9.5;0.0;16.0;110.0;2015-07-16
;2015;7;17;;;;;;;;;;;;;;;;;;;25.2;30.4;28.3;27.925;31.0;23.8;0.0;100.0;1013.1;0.0;0.0;0.0;70.85377689;9.0;0.0;15.0;110.0;2015-07-17
;2015;7;18;;;;;;;;;;;;;;;;;;;24.5;30.4;28.3;27.13333333;30.6;23.7;0.0;100.0;1013.0;0.0;0.0;0.0;74.71160769;8.0;0.0;13.0;70.0;2015-07-18
;2015;7;19;;;;;;;;;;;;;;;;;;;23.6;30.2;28.2;27.37916667;30.4;22.5;0.0;100.0;1012.7;0.0;0.0;0.0;76.33719381;8.0;0.0;13.0;100.0;2015-07-19
;2015;7;20;;;;;;;;;;;;;;;;;;;24.2;30.3;28.5;27.63666667;30.7;23.6;1.6;100.0;1012.7;0.0;0.0;0.0;73.91163755;7.5;0.0;13.0;100.0;2015-07-20
;2015;7;21;;;;;;;;;;;;;;;;;;;24.6;30.4;28.2;28.025;30.6;24.0;0.0;100.0;1013.8;0.0;0.0;0.0;73.00752668;9.0;0.0;15.0;100.0;2015-07-21
;2015;7;22;;;;;;;;;;;;;;;;;;;26.2;30.6;28.0;27.29166667;30.7;24.6;0.0;100.0;1014.9;0.0;0.0;0.0;77.29602202;9.0;0.0;16.0;110.0;2015-07-22
